Time Scale; Number of Packets; Total data; 
1; 933455; 46809287.000000; 
2; 1752835; 87924113.000000; 
3; 3488501; 87059759.000000; 
4; 1751895; 87878571.000000; 
5; 1755126; 88039526.000000; 
6; 1733813; 86969492.000000; 
7; 1756361; 88101874.000000; 
8; 1734734; 87014274.000000; 
9; 1755855; 88074371.000000; 
10; 1729329; 86743771.000000; 
11; 1756538; 88109461.000000; 
12; 1746282; 87593678.000000; 
13; 1738725; 87216229.000000; 
14; 1757464; 88154149.000000; 
15; 1733606; 86959396.000000; 
16; 1757237; 88143116.000000; 
17; 1734541; 87007345.000000; 
18; 1757333; 88146930.000000; 
19; 1734446; 86999808.000000; 
20; 1756325; 88098159.000000; 
21; 1757898; 88176667.000000; 
22; 1734669; 87010881.000000; 
23; 1756608; 88113715.000000; 
24; 1734183; 86989102.000000; 
25; 3491903; 88165262.000000; 
26; 1736305; 87093783.000000; 
27; 1756978; 88130013.000000; 
28; 1744767; 87517573.000000; 
29; 1747138; 87636464.000000; 
30; 1756716; 88117552.000000; 
31; 1734441; 87000262.000000; 
32; 1756516; 88107842.000000; 
33; 1733372; 86946266.000000; 
34; 1758361; 88200594.000000; 
35; 1734432; 87000230.000000; 
36; 1758213; 88191696.000000; 
37; 1755487; 88056267.000000; 
38; 1735124; 87034544.000000; 
39; 1757269; 88144921.000000; 
40; 1734794; 87017665.000000; 
41; 1757495; 88156114.000000; 
42; 1733845; 86969720.000000; 
43; 1757763; 88170225.000000; 
44; 1739565; 87256843.000000; 
45; 1749588; 87759604.000000; 
46; 1756798; 88121988.000000; 
47; 1734450; 87000991.000000; 
48; 1758258; 88193980.000000; 
49; 1735529; 87052938.000000; 
50; 1756166; 88089067.000000; 
51; 1736142; 87085629.000000; 
52; 1757390; 88150989.000000; 
53; 1751798; 87871384.000000; 
54; 1740096; 87291360.000000; 
55; 1758016; 88182298.000000; 
56; 1734589; 87008108.000000; 
57; 1758291; 88195593.000000; 
58; 1733776; 86966694.000000; 
59; 1757371; 88150079.000000; 
60; 1736018; 87079284.000000; 
61; 1753527; 87957373.000000; 
62; 1756166; 88090158.000000; 
63; 1734429; 87003160.000000; 
64; 1757255; 88143526.000000; 
65; 1734374; 87000581.000000; 
66; 1757142; 88138021.000000; 
67; 1733664; 86961783.000000; 
68; 1756904; 88126522.000000; 
69; 1748456; 87702879.000000; 
70; 1743801; 87468520.000000; 
71; 1755531; 88058129.000000; 
72; 1735739; 87065097.000000; 
73; 1754014; 87981848.000000; 
74; 1731527; 86856601.000000; 
75; 1755115; 88036490.000000; 
76; 1734149; 86985729.000000; 
77; 1755525; 88057104.000000; 
78; 1755778; 88070029.000000; 
79; 1733615; 86958463.000000; 
80; 1756173; 88089909.000000; 
81; 1732901; 86921296.000000; 
82; 1754987; 88030519.000000; 
83; 1733198; 86937531.000000; 
84; 1755362; 88049931.000000; 
85; 1740893; 87323302.000000; 
86; 1746450; 87601157.000000; 
87; 1755428; 88054123.000000; 
88; 1734599; 87008077.000000; 
89; 1755380; 88050991.000000; 
90; 1730435; 86801226.000000; 
91; 1754279; 87995160.000000; 
92; 1734432; 86999797.000000; 
93; 1755997; 88080586.000000; 
94; 1751360; 87848673.000000; 
95; 1735181; 87037259.000000; 
96; 1755835; 88072718.000000; 
97; 1732980; 86925233.000000; 
98; 1757384; 88154504.000000; 
99; 1734781; 87017201.000000; 
100; 1754972; 88029933.000000; 
101; 1735691; 87062976.000000; 
102; 1746810; 87620332.000000; 
103; 1752315; 87896581.000000; 
104; 1728823; 86719435.000000; 
105; 1751645; 87863051.000000; 
106; 1732396; 86898330.000000; 
107; 1752102; 87885609.000000; 
108; 1730799; 86817467.000000; 
109; 1753371; 87949882.000000; 
110; 1747065; 87632747.000000; 
111; 1738785; 87218038.000000; 
112; 1751488; 87858762.000000; 
113; 1722019; 86377925.000000; 
114; 1740984; 87327316.000000; 
115; 1720249; 86287010.000000; 
116; 1740795; 87318648.000000; 
117; 1721563; 86353521.000000; 
118; 1739200; 87238600.000000; 
119; 1741776; 87368065.000000; 
120; 1718931; 86221687.000000; 
121; 1740750; 87316982.000000; 
122; 1716744; 86112426.000000; 
123; 1739767; 87267089.000000; 
124; 1716303; 86090271.000000; 
125; 1740232; 87291843.000000; 
126; 1728366; 86694675.000000; 
127; 1724086; 86481179.000000; 
128; 1736619; 87108700.000000; 
129; 1717916; 86171948.000000; 
130; 1739685; 87266335.000000; 
131; 1719345; 86241962.000000; 
132; 1739849; 87272153.000000; 
133; 1716009; 86074438.000000; 
134; 1739394; 87248611.000000; 
135; 1736706; 87112920.000000; 
136; 1718691; 86208416.000000; 
137; 1737895; 87172911.000000; 
138; 1717907; 86169643.000000; 
139; 1738041; 87179528.000000; 
140; 1716989; 86124901.000000; 
141; 1738483; 87202928.000000; 
142; 1724518; 86502057.000000; 
143; 1731030; 86832276.000000; 
144; 1738510; 87203731.000000; 
145; 1714995; 86026902.000000; 
146; 1738265; 87192907.000000; 
147; 1715892; 86071664.000000; 
148; 1736656; 87110811.000000; 
149; 1715573; 86055497.000000; 
150; 1737745; 87165411.000000; 
151; 1729902; 86774198.000000; 
152; 1723229; 86438973.000000; 
153; 1738183; 87187121.000000; 
154; 1713415; 85945562.000000; 
155; 1738287; 87192910.000000; 
156; 1716880; 86120188.000000; 
157; 1736524; 87104044.000000; 
158; 1717853; 86167612.000000; 
159; 1733698; 86964141.000000; 
160; 1737553; 87159187.000000; 
161; 1716857; 86118843.000000; 
162; 3454152; 87142400.000000; 
163; 1716989; 86124814.000000; 
164; 1737390; 87147563.000000; 
165; 1716296; 86089690.000000; 
166; 1736890; 87122649.000000; 
167; 1728333; 86694018.000000; 
168; 1726147; 86586803.000000; 
169; 1738243; 87191165.000000; 
170; 1715099; 86031965.000000; 
171; 1738804; 87218948.000000; 
