Time Scale; Number of Packets; Total data; 
1; 9039; 452010.000000; 
2; 9343; 467275.000000; 
3; 9337; 466925.000000; 
4; 9309; 465610.000000; 
5; 9333; 466925.000000; 
6; 9311; 465725.000000; 
7; 9334; 466760.000000; 
8; 9310; 465625.000000; 
9; 9313; 465775.000000; 
10; 9325; 466325.000000; 
11; 9308; 465510.000000; 
12; 9344; 467375.000000; 
13; 9302; 465175.000000; 
14; 9338; 467010.000000; 
15; 9302; 465175.000000; 
16; 9337; 466925.000000; 
17; 9302; 465160.000000; 
18; 9335; 466925.000000; 
19; 9309; 465575.000000; 
20; 9175; 458860.000000; 
21; 9296; 464875.000000; 
22; 9351; 467675.000000; 
23; 9306; 465475.000000; 
24; 9321; 466260.000000; 
25; 9328; 466575.000000; 
26; 9311; 465725.000000; 
27; 9343; 467210.000000; 
28; 9313; 465725.000000; 
29; 9342; 467175.000000; 
30; 9309; 465510.000000; 
31; 9342; 467275.000000; 
32; 9322; 466225.000000; 
33; 9330; 466625.000000; 
34; 9314; 465860.000000; 
35; 9344; 467325.000000; 
36; 9309; 465725.000000; 
37; 9346; 467360.000000; 
38; 9314; 465875.000000; 
39; 9341; 467175.000000; 
40; 9319; 466060.000000; 
41; 9317; 466075.000000; 
42; 9349; 467575.000000; 
43; 9311; 465775.000000; 
44; 9353; 467710.000000; 
45; 9437; 472025.000000; 
46; 9391; 469625.000000; 
47; 9441; 472210.000000; 
48; 9406; 470375.000000; 
49; 9312; 465875.000000; 
50; 9343; 467275.000000; 
51; 9311; 465660.000000; 
52; 9339; 467075.000000; 
53; 9317; 466025.000000; 
54; 9352; 467710.000000; 
55; 9307; 465425.000000; 
56; 9324; 466275.000000; 
57; 9347; 467610.000000; 
58; 9316; 466025.000000; 
59; 9352; 467775.000000; 
60; 9313; 465775.000000; 
61; 9346; 467360.000000; 
62; 9325; 466375.000000; 
63; 9340; 467225.000000; 
64; 9311; 465660.000000; 
65; 9353; 467775.000000; 
66; 9311; 465625.000000; 
67; 9340; 467075.000000; 
68; 9321; 466110.000000; 
69; 9330; 466675.000000; 
70; 9320; 466075.000000; 
71; 9313; 465710.000000; 
72; 9335; 466875.000000; 
73; 9322; 466225.000000; 
74; 9332; 466810.000000; 
75; 9309; 465625.000000; 
76; 9349; 467625.000000; 
77; 9309; 465610.000000; 
78; 9341; 467175.000000; 
79; 9314; 465775.000000; 
80; 9338; 467025.000000; 
81; 9308; 465460.000000; 
82; 9341; 467225.000000; 
83; 9316; 465925.000000; 
84; 9336; 466860.000000; 
85; 9315; 465875.000000; 
86; 9324; 466325.000000; 
87; 9326; 466360.000000; 
88; 9312; 465675.000000; 
89; 9336; 466975.000000; 
90; 9310; 465575.000000; 
91; 9336; 467010.000000; 
92; 9313; 465725.000000; 
93; 9345; 467425.000000; 
94; 9310; 465560.000000; 
95; 9343; 467275.000000; 
96; 9317; 465925.000000; 
97; 9336; 466910.000000; 
98; 9355; 467875.000000; 
99; 9425; 471325.000000; 
100; 9342; 467225.000000; 
101; 9387; 469460.000000; 
102; 9335; 466825.000000; 
103; 9316; 465925.000000; 
104; 9347; 467460.000000; 
105; 9311; 465625.000000; 
106; 9338; 467025.000000; 
107; 9309; 465525.000000; 
108; 9339; 467060.000000; 
109; 9311; 465625.000000; 
110; 9346; 467425.000000; 
111; 9311; 465660.000000; 
112; 9343; 467325.000000; 
113; 9316; 465925.000000; 
114; 9337; 467010.000000; 
115; 9302; 465225.000000; 
116; 9332; 466825.000000; 
117; 9328; 466525.000000; 
118; 9307; 465460.000000; 
119; 9341; 467175.000000; 
120; 9306; 465525.000000; 
121; 9344; 467260.000000; 
122; 9305; 465375.000000; 
123; 9347; 467425.000000; 
124; 9302; 465160.000000; 
125; 9340; 467175.000000; 
126; 9319; 466075.000000; 
127; 8394; 419825.000000; 
128; 7623; 381195.000000; 
129; 5248; 262450.000000; 
130; 2515; 125750.000000; 
131; 879; 43950.000000; 
