



User ID: 0


Parameters of the Don generation
Type=7, min=50, max=1500
Lambda=1, k=1, alpha=1.1, xm=0.081, avg=750, sigma=150
Internal stats of the Don generation: 100000 values, mean=50.108

Distribution of the Don generation
Distrib_type;Start_of_range;Number_of_times
Don;50;99943
Don;64;11
Don;79;8
Don;93;4
Don;108;4
Don;122;5
Don;137;2
Don;151;5
Don;166;1
Don;180;1
Don;195;2
Don;209;0
Don;224;2
Don;238;0
Don;253;0
Don;267;1
Don;282;1
Don;296;0
Don;311;0
Don;325;2
Don;340;0
Don;354;0
Don;369;1
Don;383;0
Don;398;0
Don;412;1
Don;427;0
Don;441;0
Don;456;0
Don;470;0
Don;485;0
Don;499;0
Don;514;0
Don;528;0
Don;543;1
Don;557;0
Don;572;0
Don;586;0
Don;601;0
Don;615;0
Don;630;1
Don;644;0
Don;659;0
Don;673;0
Don;688;0
Don;702;0
Don;717;0
Don;731;1
Don;746;0
Don;760;0
Don;775;0
Don;789;0
Don;804;0
Don;818;0
Don;833;0
Don;847;0
Don;862;0
Don;876;0
Don;891;0
Don;905;0
Don;920;0
Don;934;0
Don;949;0
Don;963;0
Don;978;0
Don;992;0
Don;1007;0
Don;1021;0
Don;1036;0
Don;1050;0
Don;1065;0
Don;1079;0
Don;1094;0
Don;1108;0
Don;1123;0
Don;1137;0
Don;1152;0
Don;1166;0
Don;1181;0
Don;1195;0
Don;1210;0
Don;1224;0
Don;1239;0
Don;1253;0
Don;1268;0
Don;1282;0
Don;1297;0
Don;1311;0
Don;1326;1
Don;1340;0
Don;1355;0
Don;1369;0
Don;1384;0
Don;1398;0
Don;1413;0
Don;1427;0
Don;1442;0
Don;1456;0
Don;1471;1
Don;1485;0
Don;1500;1


Parameters of the Doff generation
Type=5, min=1000, max=1950000
Lambda=0.28, k=0.74, alpha=0.36, xm=1, avg=975000, sigma=195000
Internal stats of the Doff generation: 100000 values, mean=975767

Distribution of the Doff generation
Distrib_type;Start_of_range;Number_of_times
Doff;1000;0
Doff;20490;0
Doff;39980;0
Doff;59470;0
Doff;78960;0
Doff;98450;1
Doff;117940;1
Doff;137430;1
Doff;156920;0
Doff;176410;1
Doff;195900;0
Doff;215390;6
Doff;234880;2
Doff;254370;8
Doff;273860;8
Doff;293350;11
Doff;312840;14
Doff;332330;23
Doff;351820;36
Doff;371310;44
Doff;390800;51
Doff;410290;66
Doff;429780;94
Doff;449270;124
Doff;468760;174
Doff;488250;198
Doff;507740;257
Doff;527230;303
Doff;546720;363
Doff;566210;491
Doff;585700;603
Doff;605190;737
Doff;624680;841
Doff;644170;985
Doff;663660;1197
Doff;683150;1411
Doff;702640;1638
Doff;722130;1865
Doff;741620;2056
Doff;761110;2299
Doff;780600;2503
Doff;800090;2817
Doff;819580;2967
Doff;839070;3242
Doff;858560;3407
Doff;878050;3564
Doff;897540;3694
Doff;917030;3886
Doff;936520;3996
Doff;956010;3877
Doff;975500;3969
Doff;994990;3981
Doff;1014480;3844
Doff;1033970;3802
Doff;1053460;3557
Doff;1072950;3477
Doff;1092440;3224
Doff;1111930;3009
Doff;1131420;2781
Doff;1150910;2565
Doff;1170400;2351
Doff;1189890;2010
Doff;1209380;1781
Doff;1228870;1658
Doff;1248360;1394
Doff;1267850;1239
Doff;1287340;1018
Doff;1306830;825
Doff;1326320;723
Doff;1345810;621
Doff;1365300;508
Doff;1384790;374
Doff;1404280;337
Doff;1423770;255
Doff;1443260;214
Doff;1462750;181
Doff;1482240;132
Doff;1501730;85
Doff;1521220;56
Doff;1540710;45
Doff;1560200;29
Doff;1579690;30
Doff;1599180;16
Doff;1618670;14
Doff;1638160;12
Doff;1657650;6
Doff;1677140;3
Doff;1696630;5
Doff;1716120;4
Doff;1735610;1
Doff;1755100;0
Doff;1774590;2
Doff;1794080;0
Doff;1813570;0
Doff;1833060;0
Doff;1852550;0
Doff;1872040;0
Doff;1891530;0
Doff;1911020;0
Doff;1930510;0
Doff;1950000;0




User ID: 1


Parameters of the Don generation
Type=7, min=50, max=1500
Lambda=1, k=1, alpha=1.1, xm=0.081, avg=750, sigma=150
Internal stats of the Don generation: 100000 values, mean=50.1133

Distribution of the Don generation
Distrib_type;Start_of_range;Number_of_times
Don;50;99925
Don;64;21
Don;79;10
Don;93;4
Don;108;5
Don;122;3
Don;137;7
Don;151;2
Don;166;1
Don;180;2
Don;195;1
Don;209;1
Don;224;2
Don;238;2
Don;253;1
Don;267;0
Don;282;2
Don;296;0
Don;311;0
Don;325;0
Don;340;0
Don;354;1
Don;369;1
Don;383;2
Don;398;1
Don;412;1
Don;427;0
Don;441;0
Don;456;0
Don;470;0
Don;485;0
Don;499;1
Don;514;0
Don;528;1
Don;543;0
Don;557;0
Don;572;0
Don;586;0
Don;601;0
Don;615;0
Don;630;0
Don;644;0
Don;659;0
Don;673;0
Don;688;0
