Time Scale; Number of Packets; Total data; 
1; 47950; 2399721.000000; 
2; 97281; 4868962.000000; 
3; 96786; 4844608.000000; 
4; 96825; 4846544.000000; 
5; 96536; 4832270.000000; 
6; 96834; 4846781.000000; 
7; 97059; 4857979.000000; 
8; 97328; 4871317.000000; 
9; 96918; 4851020.000000; 
10; 96948; 4852997.000000; 
11; 97051; 4858122.000000; 
12; 96941; 4853347.000000; 
13; 96934; 4851670.000000; 
14; 96568; 4834291.000000; 
15; 96814; 4846105.000000; 
16; 96550; 4832567.000000; 
17; 96875; 4848475.000000; 
18; 96933; 4852062.000000; 
19; 96965; 4853626.000000; 
20; 96521; 4831619.000000; 
21; 96841; 4847303.000000; 
22; 96513; 4831970.000000; 
23; 96600; 4835287.000000; 
24; 96623; 4836434.000000; 
25; 96494; 4830780.000000; 
26; 96922; 4851664.000000; 
27; 96531; 4833220.000000; 
28; 96847; 4847556.000000; 
29; 96510; 4831322.000000; 
30; 96780; 4844060.000000; 
31; 96558; 4833455.000000; 
32; 96844; 4847007.000000; 
33; 96540; 4832563.000000; 
34; 96826; 4846972.000000; 
35; 96521; 4831975.000000; 
36; 96971; 4853769.000000; 
37; 97111; 4861413.000000; 
38; 97252; 4868332.000000; 
39; 96677; 4839074.000000; 
40; 96506; 4831260.000000; 
41; 97140; 4862222.000000; 
42; 96900; 4850939.000000; 
43; 96912; 4851270.000000; 
44; 96581; 4834058.000000; 
45; 96833; 4846628.000000; 
46; 96595; 4835094.000000; 
47; 96860; 4848246.000000; 
48; 97174; 4864770.000000; 
49; 97262; 4868418.000000; 
50; 96925; 4851213.000000; 
51; 97140; 4862624.000000; 
52; 96555; 4833000.000000; 
53; 96650; 4839062.000000; 
54; 96697; 4840536.000000; 
55; 96492; 4830705.000000; 
56; 96919; 4851360.000000; 
57; 96542; 4832359.000000; 
58; 96809; 4845926.000000; 
59; 96541; 4831902.000000; 
60; 96866; 4848770.000000; 
61; 96534; 4832343.000000; 
62; 96796; 4845029.000000; 
63; 96507; 4830828.000000; 
64; 96886; 4849564.000000; 
65; 96565; 4833740.000000; 
66; 96790; 4844615.000000; 
67; 96642; 4837620.000000; 
68; 96552; 4832811.000000; 
69; 96820; 4846164.000000; 
70; 96551; 4832638.000000; 
71; 96815; 4846226.000000; 
72; 96524; 4831637.000000; 
73; 96905; 4850231.000000; 
74; 97171; 4864520.000000; 
75; 97210; 4865294.000000; 
76; 97155; 4863312.000000; 
77; 97200; 4864883.000000; 
78; 97078; 4859824.000000; 
79; 97311; 4870879.000000; 
80; 96484; 4829905.000000; 
81; 96736; 4842282.000000; 
82; 96634; 4836845.000000; 
83; 96568; 4833863.000000; 
84; 96883; 4848787.000000; 
85; 96586; 4834852.000000; 
86; 96874; 4849405.000000; 
87; 96825; 4846424.000000; 
88; 96800; 4845228.000000; 
89; 96550; 4833226.000000; 
90; 96905; 4851069.000000; 
91; 96872; 4849153.000000; 
92; 97054; 4857853.000000; 
93; 96494; 4830674.000000; 
94; 96841; 4847354.000000; 
95; 97081; 4859581.000000; 
96; 97243; 4867536.000000; 
97; 96756; 4842920.000000; 
98; 96565; 4834028.000000; 
99; 96920; 4851220.000000; 
100; 96563; 4832838.000000; 
101; 96729; 4841426.000000; 
102; 96499; 4830334.000000; 
103; 96923; 4851774.000000; 
104; 97150; 4862944.000000; 
105; 97169; 4864039.000000; 
106; 96536; 4832090.000000; 
107; 96855; 4848070.000000; 
108; 96480; 4830344.000000; 
109; 96753; 4843007.000000; 
110; 97088; 4859472.000000; 
111; 97163; 4863731.000000; 
112; 97162; 4863561.000000; 
113; 96877; 4849361.000000; 
114; 96945; 4852857.000000; 
115; 96581; 4834807.000000; 
116; 96747; 4842467.000000; 
117; 96515; 4831392.000000; 
118; 96894; 4851262.000000; 
119; 97167; 4864474.000000; 
120; 97206; 4865179.000000; 
121; 96589; 4834877.000000; 
122; 93804; 4694659.000000; 
123; 83866; 4197776.000000; 
124; 70134; 3509882.000000; 
125; 47927; 2397817.000000; 
126; 24268; 1214994.000000; 
127; 8450; 422852.000000; 
